Rice,30,35,5.5,6.5,food,Winter,450,700,Alluvial,West Bengal
Maize,18,27,5.8,6.8,food,Summer,500,800,Sandy,Andhra Pradesh
Wheat,25,30,5.5,6.5,food,Winter,450,650,Black,Uttar Pradesh
Soybeans,15,20,6.3,6.5,food,Winter,450,700,Loamy,Madhya Pradesh
Tomatoes,21,24,6,6.8,plantation,Summer,300,400,Sandy,West Bengal
Sugarcane,25,45,6,7,plantation,Rainy,1500,2500,Alluvial,Uttar Pradesh
Cotton,21,30,6.5,7.5,cash,Rainy,700,1300,Black,Gujarat
Sunflower,10,15,6,7.5,cash,Winter,400,600,Sandy,Karnataka
Banana,15,40,6.5,7.5,plantation,Rainy,1200,2200,Black,Tamil Nadu
Cabbage,12,16,5.5,6.5,plantation,Winter,350,500,Sandy,West Bengal
Citrus,20,25,5.5,7.5,plantation,Rainy,900,1200,Alluvial,Andhra Pradesh
Onion,30,35,5.8,6.5,cash,Summer,350,550,Sandy,Maharastra
Potato,20,30,4.8,5.4,plantation,Summer,500,700,Loamy,Uttar Pradesh
Jute,25,40,4.8,5.8,cash,Rainy,900,1300,Alluvial,West Bengal
Arecanut,10,20,6.5,6.5,food,summer,450,700,Alluvial,West Bengal
Other Kharif pulses,15,35,6,6.5,plantatior,winter,500,800,Sandy,Andhra Pradesh
Rice,12,38,6.5,6.8,cash,rainy,450,650,Black,Uttar Pradesh
Banana,20,27,5.5,7,food,rainy,450,700,Loamy,Madhya Pradesh
Cashewnut,30,40,5.5,7.5,cash,summer,300,400,Sandy,West Bengal
Coconut ,25,22,5.8,7.5,plantatior,summer,1500,2500,Alluvial,Uttar Pradesh
Dry ginger,10,26,4.8,7.5,food,summer,700,1300,Black,Gujarat
Sugarcane,18,28,4.8,6.5,food,rainy,400,600,Sandy,Karnataka
Sweet potato,16,35,5.5,6.5,cash,winter,1200,2200,Black,Tamil Nadu
Tapioca,22,37,5.8,6.8,plantatior,winter,350,500,Sandy,West Bengal
Arecanut,24,38,5.5,6.5,cash,Winter,900,1200,Alluvial,Andhra Pradesh
Other Kharif pulses,20,25,6.3,6.5,food,Summer,350,550,Sandy,Uttar Pradesh
Rice,10,23,6,6.8,food,Winter,500,700,Loamy,Gujarat
Cashewnut,25,22,6,5.4,cash,Winter,900,1300,Alluvial,Karnataka
Coconut ,11,27,6.5,5.8,food,Summer,1200,2500,Black,Tamil Nadu
Dry ginger,13,37,6,6.5,plantatior,Rainy,350,1300,Sandy,West Bengal
Sugarcane,23,40,6.5,6.5,food,Rainy,900,600,Black,Andhra Pradesh
Sweet potato,25,20,5.5,6.8,plantation,Winter,350,2200,Sandy,Maharastra
Rice,26,26,5.5,7,plantation,Rainy,500,500,Alluvial,Uttar Pradesh
Arecanut,18,28,5.8,7.5,cash,Winter,900,1200,Sandy,West Bengal
Banana,22,24,4.8,7.5,cash,Rainy,450,550,Loamy,West Bengal
Black pepper,30,34,4.8,7.5,plantation,Summer,500,700,Alluvial,Andhra Pradesh
Cashewnut,10,38,6.5,6.5,plantation,Summer,450,1300,Alluvial,Uttar Pradesh
Coconut ,12,30,6,6.5,plantation,Rainy,450,700,Sandy,Madhya Pradesh
Dry chillies,15,27,6.5,6.5,cash,summer,300,800,Black,West Bengal
Dry ginger,17,30,5.5,6.8,plantation,winter,1500,650,Loamy,Uttar Pradesh
Sugarcane,27,39,5.5,6.5,cash,rainy,700,700,Sandy,Gujarat
Rice,29,36,5.8,6.5,food,rainy,400,400,Alluvial,Karnataka
Arecanut,22,25,4.8,6.8,plantatior,summer,1200,2500,Black,Tamil Nadu
Banana,30,40,4.8,7,cash,summer,350,1300,Sandy,West Bengal
Black pepper,10,35,6.5,7.5,food,summer,900,600,Black,Andhra Pradesh
Cashewnut,15,27,5.5,7.5,cash,rainy,350,2200,Sandy,Uttar Pradesh
Coconut ,12,30,5.5,7.5,plantatior,winter,500,500,Alluvial,Gujarat
Dry chillies,20,20,5.8,6.5,food,winter,900,1200,Sandy,Karnataka
Dry ginger,30,24,4.8,7.5,food,Winter,450,550,Black,Tamil Nadu
other oilseeds,20,45,4.8,6.5,cash,Summer,500,700,Loamy,West Bengal
Rice,25,30,6.5,5.4,plantatior,Winter,450,600,Sandy,Andhra Pradesh
Arecanut,10,15,6,5.8,cash,Winter,450,2200,Alluvial,Maharastra
Banana,15,40,4.8,6.5,food,Summer,300,500,Black,Uttar Pradesh
Black pepper,12,16,4.8,6.5,food,Rainy,1500,1200,Sandy,West Bengal
Cashewnut,20,25,6.5,6.8,cash,Rainy,700,550,Black,West Bengal
Coconut ,30,35,6,7,food,Winter,400,700,Sandy,Andhra Pradesh
Dry chillies,25,30,6.5,7.5,plantatior,Rainy,1200,1300,Alluvial,Uttar Pradesh
Dry ginger,10,40,5.5,7.5,food,Winter,350,700,Sandy,Madhya Pradesh
other oilseeds,18,20,5.5,7.5,food,Rainy,900,800,Loamy,West Bengal
Rice,16,35,5.8,6.5,cash,Summer,350,650,Alluvial,Uttar Pradesh
Arecanut,22,38,4.8,6.5,cash,Summer,500,700,Alluvial,Gujarat
Banana,24,27,4.8,6.8,plantatior,Rainy,900,400,Sandy,Karnataka
Black pepper,20,40,5.5,6.5,food,summer,450,2500,Black,Tamil Nadu
Cashewnut,10,22,5.8,6.5,cash,winter,500,1300,Loamy,West Bengal
Coconut ,25,26,5.5,6.8,cash,rainy,450,600,Sandy,Andhra Pradesh
Dry chillies,11,28,5.8,5.4,food,rainy,450,2200,Alluvial,West Bengal
Turmeric,13,35,5.5,5.8,plantatior,summer,300,500,Black,Andhra Pradesh
Arecanut,23,37,6.3,6.5,cash,summer,1500,1200,Sandy,Uttar Pradesh
Banana,25,38,6,6.5,food,summer,700,550,Black,Madhya Pradesh
Black pepper,26,25,6,6.8,food,rainy,400,700,Sandy,West Bengal
Cashewnut,18,23,6.5,7,plantatior,winter,1200,1300,Alluvial,Uttar Pradesh
